ABNB
Date,Open,High,Low,Close,Adjusted_close,Volume
2024-01-02,134.43,135.6,133.34,134.48,134.48,3485247
2024-01-03,132.71,134.54,130.82,133.42,133.42,4266614
2024-01-04,132.86,137.0344,132.5,133.72,133.72,4056898
2024-01-05,134.25,136.65,133.895,135.98,135.98,4006629
2024-01-08,137.31,140.25,136.61,140.08,140.08,4179708
2024-01-09,138.52,139.54,137.79,139.53,139.53,3560892
2024-01-10,139.2,140.825,138.7,139.76,139.76,2492691
2024-01-11,140.71,141.2,137.55,139.45,139.45,2383518
2024-01-12,139.35,140.99,137.13,137.14,137.14,2481982
2024-01-16,135.9,136,133.67,135.02,135.02,5514773
2024-01-17,132.84,135.09,131.1,134.98,134.98,3039656
2024-01-18,137,139.535,135.225,137.04,137.04,5273027
2024-01-19,138.6,140.285,136.32,139.93,139.93,4089098
2024-01-22,141.155,144.05,140.9,142.01,142.01,4482914
2024-01-23,142.75,143.93,140.52,142.3,142.3,3882149
2024-01-24,143.81,144.1,139.58,141.19,141.19,4857241
2024-01-25,143.2,143.29,140.3679,142.11,142.11,3677549
2024-01-26,142.11,151.53,141.49,149.62,149.62,11342570
2024-01-29,150,153.38,148.54,152.7,152.7,5316315
2024-01-30,150.54,151.03,148.68,149.44,149.44,3884021
2024-01-31,148.645,148.74,143.92,144.14,144.14,4126572
2024-02-01,144.8,146.85,143.65,146.49,146.49,3416682
2024-02-02,143.99,148.08,141.2401,146.55,146.55,4252797
2024-02-05,146.09,146.4,142.68,144.78,144.78,3010888
2024-02-06,145.1,145.13,142.9517,144.53,144.53,3697593
2024-02-07,145.12,148.77,143.86,147.55,147.55,4214118
2024-02-08,149.25,150.67,148.06,150.54,150.54,3508283
2024-02-09,145.84,148.68,145.18,147.595,147.595,5006763
2024-02-12,148.68,157.345,148.34,153.8,153.8,7909487
2024-02-13,149.21,153.02,148.58,150.82,150.82,11801680
2024-02-14,146.16,149.53,142.57,148.2,148.2,16021810
2024-02-15,148.91,158.27,148.75,157.69,157.69,11922990
2024-02-16,156.1,156.1,151.78,152.51,152.51,6520114
2024-02-20,150.31,150.68,145.88,148.15,148.15,5229688
2024-02-21,145.98,149.26,145.396,149.24,149.24,4570787
2024-02-22,151.02,155.7,150.265,155.26,155.26,6115025
2024-02-23,153.27,155.3,150.825,152.66,152.66,4851068
2024-02-26,149.96,150.18,148.56,149.27,149.27,5277943
2024-02-27,150,152.47,149.23,152.06,152.06,4623715
2024-02-28,152.03,154.9,151.79,153.43,153.43,4329074
2024-02-29,153.4,160,153.22,157.47,157.47,8002300
2024-03-01,157.23,160.98,156.811,159.72,159.72,5365300
2024-03-04,159.9,163.015,157.93,158.09,158.09,4403219
2024-03-05,157.2,159.98,156.14,159.33,159.33,4714293
2024-03-06,160.1,164.59,160.07,163.87,163.87,5167916
2024-03-07,165,165.385,162.24,163.54,163.54,3810295
2024-03-08,166,168.19,163.48,164.91,164.91,4105743
2024-03-11,163.76,164.26,161.975,162.99,162.99,3149599
2024-03-12,163,167,162.73,166.67,166.67,3945890
2024-03-13,162.42,168,160.69,164.76,164.76,7502821
