,0,1,2,3,4,5,6,7,8,9
0,3,1,2,10,23,5,17,15,19,25
1,0,4,2,14,21,16,18,6,7,23
2,5,0,1,10,11,3,20,21,24,28
3,6,0,22,14,9,4,24,26,23,13
4,1,7,10,3,5,17,23,12,22,19
5,2,8,17,9,25,11,4,27,26,3
6,3,9,13,20,15,22,0,2,11,21
7,10,4,11,19,25,5,9,0,24,17
8,5,11,0,14,22,18,12,6,20,16
9,12,6,0,17,5,18,4,7,19,27
10,13,7,2,4,25,8,16,14,18,17
11,14,8,16,22,5,6,7,23,17,28
12,9,15,18,25,8,13,1,24,20,29
13,10,16,3,1,7,19,12,23,5,22
14,17,11,19,0,8,13,21,20,18,4
15,12,18,2,23,19,13,21,7,17,28
16,19,13,11,20,6,21,12,5,29,10
17,20,14,5,11,9,0,22,21,15,4
18,21,15,20,1,22,5,0,26,13,9
19,16,22,15,24,1,14,26,9,7,17
20,17,23,26,5,15,16,10,0,28,9
21,18,24,22,23,16,17,6,28,27,12
22,19,25,3,18,13,8,5,24,20,9
23,20,26,0,15,9,21,22,13,11,4
24,21,27,2,16,22,18,7,6,26,3
25,28,22,6,18,12,7,5,26,1,19
26,29,23,3,14,12,1,20,8,19,24
27,24,21,10,12,11,5,22,17,0,28
28,25,0,13,15,6,14,21,23,19,9
29,26,5,17,0,15,21,6,4,13,27
